数据生成时间：2016-11-09 09:08,,,,,,
数据生成条件：,,,,,,
1. 时间范围：20161102至20161108,,,,,,
2. 时间单位：合计,,,,,,
3. 推广设备：移动设备，计算机,,,,,,
4. 投放网络：搜索推广,,,,,,
,,,,,,
日期,推广计划,消费,展现,点击,点击率,平均点击价格
2016-11-02至2016-11-08,江苏,139.21,653,81,12.40%,1.72
2016-11-02至2016-11-08,河北,169.71,1460,124,8.49%,1.37
2016-11-02至2016-11-08,天津,18.73,89,11,12.36%,1.7
2016-11-02至2016-11-08,贵州,39.42,243,25,10.29%,1.58
2016-11-02至2016-11-08,四川,29.24,289,22,7.61%,1.33
2016-11-02至2016-11-08,河南,59.02,586,49,8.36%,1.2
2016-11-02至2016-11-08,甘肃,0,47,0,0.00%,0
2016-11-02至2016-11-08,福建,39.82,378,32,8.47%,1.24
2016-11-02至2016-11-08,安徽,4.98,78,4,5.13%,1.25
2016-11-02至2016-11-08,湖南,22.46,336,21,6.25%,1.07
2016-11-02至2016-11-08,浙江,44.29,715,38,5.31%,1.17
2016-11-02至2016-11-08,内蒙古,16.29,181,15,8.29%,1.09
2016-11-02至2016-11-08,山东,35.37,574,36,6.27%,0.98
2016-11-02至2016-11-08,大庆,2.19,46,4,8.70%,0.55
